lap_distance_m,speed_kph,throttle,brake
1210.0,230.76631032856469,0.4379063826442377,0.0
1215.0,230.37329036315046,0.5184754755541576,0.0
1220.0,229.9802703977362,0.5990445684640776,0.0
1225.0,229.58725043232195,0.6796136613739976,0.0
1230.0,229.19423046690773,0.7601827542839175,0.0
1235.0,229.0,0.8127791814047499,0.0
1240.0,229.0,0.8380444669024761,0.0
1245.0,229.0,0.8633097524002024,0.0
1250.0,229.0,0.8885750378979287,0.0
1255.0,230.1306014857417,0.9148732326863172,0.0
1260.0,231.3287802540139,0.9412331655883062,0.0
1265.0,232.52695902228615,0.9675930984902952,0.0
1270.0,233.72513779055836,0.9939530313922841,0.0
1275.0,234.73158227848103,1.0,0.0
1280.0,235.68094936708863,1.0,0.0
1285.0,236.63031645569623,1.0,0.0
1290.0,238.41920788397178,1.0,0.0
1295.0,240.74349200446264,1.0,0.0
1300.0,241.4548345754023,0.9552964351829871,0.0
1305.0,240.26814449138462,0.8579878482935392,0.0
1310.0,239.08145440736698,0.7606792614040913,0.0
1315.0,237.8947643233493,0.6633706745146434,0.0
1320.0,236.61990111248454,0.5586418417799747,0.0
1325.0,235.07478368355993,0.431169653893695,0.0
1330.0,233.52966625463534,0.3036974660074152,0.0
1335.0,232.2594095109308,0.29147509578544106,0.0
1340.0,231.13252197430697,0.3393678160919544,0.0
1345.0,230.0056344376831,0.38726053639846764,0.0
1350.0,228.81388376383762,0.4365140682656828,0.0
1355.0,227.08417896678966,0.4970537361623616,0.0
1360.0,225.3544741697417,0.5575934040590403,0.0
1365.0,223.62476937269375,0.6181330719557192,0.0
1370.0,223.51103999999998,0.6859935999999994,0.0
1375.0,224.31104,0.7579935999999994,0.0
1380.0,225.0,0.8247588571428568,0.0
1385.0,225.0,0.859044571428571,0.0
1390.0,225.0,0.8933302857142854,0.0
1395.0,225.0,0.9276159999999997,0.0
1400.0,225.5403485027914,0.9508069700558279,0.0
1405.0,226.3862290644561,0.9677245812891219,0.0
1410.0,227.2321096261208,0.9846421925224158,0.0
1415.0,228.10776063581113,1.0,0.0
1420.0,229.27653108929405,1.0,0.0
